state	power	likelihood
2510	1	-1590.54
2520	1	-1588.61
2530	1	-1588.84
2540	1	-1588.75
2550	1	-1590.66
2560	1	-1589.07
2570	1	-1588.82
2580	1	-1588.93
2590	1	-1589.35
2600	1	-1589.21
2610	1	-1590.05
2620	1	-1589.48
2630	1	-1588.92
2640	1	-1588.62
2650	1	-1590.85
2660	1	-1589.85
2670	1	-1588.9
2680	1	-1588.71
2690	1	-1588.84
2700	1	-1588.66
2710	1	-1588.71
2720	1	-1588.63
2730	1	-1588.63
2740	1	-1588.76
2750	1	-1588.65
2760	1	-1588.7
2770	1	-1588.65
2780	1	-1588.77
2790	1	-1589.51
2800	1	-1588.98
2810	1	-1588.64
2820	1	-1588.69
2830	1	-1588.86
2840	1	-1588.62
2850	1	-1588.73
2860	1	-1588.63
2870	1	-1588.97
2880	1	-1589.48
2890	1	-1590.04
2900	1	-1589.1
2910	1	-1588.65
2920	1	-1588.64
2930	1	-1588.66
2940	1	-1590.49
2950	1	-1588.77
2960	1	-1591.23
2970	1	-1588.8
2980	1	-1589
2990	1	-1588.71
3000	1	-1589.69
3010	1	-1589.41
3020	1	-1588.9
3030	1	-1588.73
3040	1	-1588.62
3050	1	-1588.61
3060	1	-1588.88
3070	1	-1588.62
3080	1	-1588.74
3090	1	-1589.88
3100	1	-1589.47
3110	1	-1588.76
3120	1	-1588.65
3130	1	-1588.88
3140	1	-1589.22
3150	1	-1588.87
3160	1	-1589.24
3170	1	-1588.84
3180	1	-1588.64
3190	1	-1589.62
3200	1	-1588.68
3210	1	-1588.67
3220	1	-1592.58
3230	1	-1589.93
3240	1	-1588.67
3250	1	-1589.36
3260	1	-1588.61
3270	1	-1588.69
3280	1	-1590.02
3290	1	-1589.95
3300	1	-1588.68
3310	1	-1588.65
3320	1	-1589.93
3330	1	-1590.25
3340	1	-1588.61
3350	1	-1588.62
3360	1	-1589.12
3370	1	-1589.5
3380	1	-1588.78
3390	1	-1588.66
3400	1	-1588.98
3410	1	-1588.68
3420	1	-1589.15
3430	1	-1588.62
3440	1	-1589.7
3450	1	-1588.79
3460	1	-1588.62
3470	1	-1590.09
3480	1	-1588.61
3490	1	-1588.62
3500	1	-1589.13
3510	1	-1588.68
3520	1	-1589.57
