Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51
1260	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	15	77	2	12	12	77	2	2	2	4	2	2	16	16	4	21	12	77	2	2	3	16	12	12	2	12	2	2	24	12	24	24	2	15	2	2	2	2	2	15	2	2	2	2	37	37	3	3	3	3	37	37	15	37	2	15	2	2	2	2	24	24	6	24	6	6	6	6	6	6
1270	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	2	4	2	2	16	16	4	21	37	77	2	2	3	16	2	37	24	2	2	2	2	2	2	2	2	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1280	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	15	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	2	15	2	15	2	2	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	12	37	2	12	2	2	2	2	6	2	6	6	6	6	6	6
1290	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	19	19	2	2	2	2	37	77	3	12	2	77	2	2	4	4	2	2	16	16	4	21	12	77	2	2	3	16	53	12	24	53	15	15	2	2	2	15	12	37	2	2	2	19	2	2	2	2	2	2	37	37	3	3	3	16	15	37	15	15	2	15	2	2	12	12	2	12	6	24	6	6	6	6	6	6
1300	6	6	6	6	6	6	4	4	3	3	3	3	4	4	16	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	12	12	96	77	2	2	4	4	4	2	16	16	4	21	37	77	2	2	3	16	87	37	6	87	4	4	56	96	56	56	2	12	2	2	2	2	37	37	37	37	37	37	3	16	3	3	16	16	16	16	3	16	2	37	2	2	2	2	6	56	6	6	6	6	6	6	6	6
1310	6	6	6	6	6	6	4	4	16	3	3	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	2	4	2	2	16	16	4	21	77	77	2	2	3	16	12	77	2	12	2	2	2	2	2	2	37	37	2	2	2	2	2	2	2	2	2	2	15	15	4	16	4	4	15	15	2	15	2	2	2	2	37	37	24	37	6	24	6	6	6	6	6	6
1320	6	6	6	6	6	6	4	4	3	3	3	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	87	77	2	12	77	77	2	2	4	4	2	2	4	16	4	21	15	77	24	2	4	4	2	15	6	24	2	15	2	77	2	2	57	87	2	2	2	2	2	2	2	2	2	2	15	15	3	3	4	16	15	15	15	15	2	15	2	2	87	87	6	87	6	6	6	6	6	6	6	6
1330	6	6	6	6	6	6	4	4	3	3	3	3	4	4	16	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	2	77	2	2	15	4	2	2	16	16	4	21	2	77	24	2	37	16	2	37	6	24	2	15	2	2	2	2	24	2	2	2	2	2	12	37	12	12	12	12	3	16	3	3	16	16	16	16	3	16	2	12	2	2	24	24	6	24	6	6	6	6	6	6	6	6
1340	6	6	6	6	6	6	3	4	3	3	3	3	4	4	87	37	4	4	12	37	2	2	2	2	2	2	19	19	2	2	2	2	43	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	53	77	6	53	2	15	2	2	2	2	2	43	2	2	19	19	2	12	2	19	2	2	87	87	3	3	3	3	53	87	87	87	87	87	87	87	87	87	6	87	6	6	6	6	6	6	6	6
1350	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	15	4	2	2	16	16	4	21	37	77	2	2	3	16	87	37	6	87	2	15	2	2	2	2	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	37	37	2	37	2	2	2	2	6	24	6	6	6	6	6	6
1360	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	37	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	56	37	6	56	2	15	37	37	15	37	2	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	15	6	24	6	6	6	6	6	6
1370	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	12	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	15	15	2	12	2	15	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	24	2	6	24	6	6	6	6	6	6
1380	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	43	77	2	12	15	77	2	2	15	4	2	2	4	16	21	21	43	77	2	2	5	21	43	43	6	43	2	15	2	15	2	2	2	43	2	2	2	2	2	2	2	2	2	2	37	37	3	3	4	16	37	37	37	37	2	37	2	2	2	2	6	2	6	6	6	6	6	6	6	6
1390	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	4	4	24	2	16	16	4	21	37	77	2	2	3	16	12	37	2	12	24	56	2	2	24	24	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	6	24	6	24	6	6	6	6	6	6
1400	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	15	77	2	2	4	4	84	15	50	84	37	15	2	2	37	37	2	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	16	37	37	37	37	12	37	12	12	2	12	2	37	6	50	6	6	6	6	6	6
1410	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	24	2	16	16	4	21	87	77	2	2	3	16	24	87	6	24	56	56	2	2	24	56	2	37	2	2	2	2	37	37	2	37	2	2	37	37	3	3	3	16	37	37	37	37	12	37	2	12	2	2	6	24	6	6	6	6	6	6	6	6
1420	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	6	4	2	2	4	16	4	21	15	77	24	2	4	4	2	15	6	24	24	24	2	2	24	24	2	37	2	2	2	2	2	2	2	2	2	2	37	37	3	3	4	16	37	37	37	37	2	37	2	2	2	2	6	24	6	6	6	6	6	6	6	6
1430	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	43	77	2	2	4	4	2	2	16	16	4	21	87	77	2	2	3	16	53	87	24	53	15	15	2	43	2	15	2	2	2	2	2	2	2	37	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1440	6	6	6	6	6	6	4	4	16	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	87	77	2	12	6	77	6	2	26	4	2	2	4	16	4	21	87	77	6	2	4	4	6	87	6	6	6	56	6	6	6	6	2	87	2	2	2	2	2	2	2	2	2	2	37	37	16	16	4	16	15	37	15	15	2	15	2	2	2	2	6	24	6	6	6	6	6	6	6	6
1450	6	6	6	6	6	6	4	4	16	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	3	12	53	77	2	2	2	4	2	2	16	16	4	21	2	77	2	2	12	16	2	12	2	2	2	2	53	53	24	53	12	37	2	2	2	2	2	15	2	2	2	2	37	37	16	16	3	16	37	37	37	37	2	37	2	2	2	12	24	24	6	24	6	6	6	6	6	6
1460	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	2	77	2	2	6	4	2	2	16	16	4	21	77	77	2	2	3	16	87	77	6	87	53	24	2	2	53	53	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	4	16	37	37	37	37	2	37	2	2	2	2	6	53	6	6	6	6	6	6	6	6
1470	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	15	77	2	12	12	77	2	2	4	4	2	2	4	16	4	21	12	77	2	2	4	4	2	37	2	2	2	15	2	12	2	2	2	15	2	2	2	2	2	37	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	24	2	6	24	6	6	6	6	6	6
1480	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	12	77	2	2	2	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	2	2	2	12	2	2	24	37	2	2	2	2	12	12	12	12	2	12	37	37	3	3	3	16	37	37	37	37	2	37	2	2	24	24	24	24	6	24	6	6	6	6	6	6
1490	6	6	6	6	6	6	3	4	3	3	3	3	4	4	16	37	4	4	87	37	2	2	2	2	2	2	2	19	2	2	2	2	3	77	12	12	2	77	2	2	2	4	2	2	4	16	4	21	15	77	2	2	4	4	2	15	2	2	2	2	2	2	2	2	2	12	2	2	2	2	87	87	53	87	53	53	16	16	3	3	3	3	16	16	3	16	24	53	24	24	24	24	24	24	6	24	6	6	6	6	6	6
1500	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	73	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	37	37	53	37	15	15	2	2	15	15	2	73	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	2	15	6	53	6	6	6	6	6	6
1510	6	6	6	6	6	6	4	4	3	3	3	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	12	12	2	77	2	2	4	4	2	2	3	16	4	21	37	77	2	2	3	16	12	37	2	12	2	15	2	2	2	2	2	12	2	2	2	2	2	2	2	2	2	2	15	15	3	3	4	16	15	15	15	15	2	15	2	2	2	2	24	2	6	24	6	6	6	6	6	6
1520	6	6	6	6	6	6	4	4	3	3	3	3	4	4	4	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	2	77	2	2	26	4	2	2	37	16	4	21	2	77	2	2	2	37	2	2	2	2	2	56	2	2	2	2	2	77	2	2	2	2	15	15	15	15	15	15	4	4	3	3	4	16	4	4	4	4	2	15	2	2	24	2	24	24	6	24	6	6	6	6	6	6
1530	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	87	37	6	87	2	15	2	2	2	2	2	37	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	87	37	87	87	87	87	6	87	6	6	6	6	6	6	6	6
1540	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	12	77	2	2	26	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	24	56	2	12	6	24	12	37	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	12	12	24	53	6	24	6	6	6	6	6	6
1550	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	46	77	2	12	12	77	2	2	4	4	2	2	16	16	4	21	12	77	2	2	3	16	12	12	2	12	2	15	53	12	53	53	2	46	2	2	2	2	2	37	2	2	2	2	37	37	3	3	3	16	37	37	2	37	2	2	2	2	2	2	24	53	6	24	6	6	6	6	6	6
1560	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	87	77	6	2	4	4	25	87	6	25	2	15	2	2	2	2	15	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	15	2	2	6	24	6	6	6	6	6	6
1570	6	6	6	6	6	6	4	4	3	3	16	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	15	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	15	77	2	2	4	4	2	15	2	2	2	15	2	2	2	2	2	15	2	2	2	2	2	2	2	2	2	2	37	37	4	16	4	4	37	37	37	37	2	37	24	2	24	24	24	24	6	24	6	6	6	6	6	6
1580	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	46	77	2	12	15	77	2	2	4	4	2	2	16	16	4	21	2	77	2	2	16	16	12	37	2	12	15	15	2	15	2	15	2	46	2	2	2	2	2	15	2	2	2	2	37	37	3	3	4	16	37	37	37	37	2	37	2	2	2	2	2	2	6	2	6	6	6	6	6	6
1590	6	6	6	6	6	6	4	4	3	3	3	3	4	4	4	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	12	77	2	2	4	4	2	2	4	16	21	21	77	77	2	2	4	21	4	77	2	15	15	15	2	12	24	15	15	77	2	2	2	2	15	15	15	15	2	15	4	4	3	3	16	16	16	16	16	16	2	37	2	2	2	15	24	24	6	24	6	6	6	6	6	6
1600	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	37	77	2	2	2	4	2	2	4	16	4	21	77	77	2	2	4	4	2	77	2	2	2	2	37	37	87	37	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	24	87	6	24	6	6	6	6	6	6
1610	6	6	6	6	6	6	4	4	3	3	3	3	4	4	15	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	2	77	2	2	62	4	2	2	4	16	4	21	46	77	2	2	4	4	2	46	2	2	56	96	2	2	56	56	2	77	2	2	2	2	37	37	37	37	37	37	4	15	3	3	4	16	4	4	4	4	15	37	2	15	2	2	26	56	6	56	6	6	6	6	6	6
1620	6	6	6	6	6	6	4	4	3	3	3	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	12	12	15	77	2	2	4	4	15	2	16	16	4	21	37	77	2	2	3	16	53	37	24	53	4	15	15	15	2	15	2	12	2	2	2	2	2	2	2	2	2	2	15	15	4	3	4	4	15	15	15	15	2	15	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1630	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	3	12	2	77	2	2	4	4	2	2	16	16	4	21	12	77	2	2	3	16	2	12	2	2	2	15	2	2	2	2	2	37	2	2	2	2	12	37	12	12	3	12	37	37	3	3	3	3	37	37	37	37	24	37	24	24	24	24	6	24	6	24	6	6	6	6	6	6
1640	6	6	6	6	6	6	4	4	16	3	3	3	4	4	4	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	24	2	77	77	2	12	37	77	2	2	15	4	2	2	16	16	4	21	43	77	2	2	3	16	2	43	2	2	15	15	2	37	2	15	2	77	2	2	2	2	15	37	15	15	15	15	4	4	4	16	4	4	4	4	4	4	2	15	24	24	24	24	24	24	6	24	6	6	6	6	6	6
1650	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	8	19	2	2	2	2	43	77	2	12	2	77	2	2	4	4	15	2	4	16	4	21	34	77	2	2	4	4	2	34	2	2	15	15	2	2	2	15	2	43	2	2	2	8	2	12	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	2	6	2	6	6	6	6	6	6
1660	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	24	77	2	2	15	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	2	15	24	24	24	24	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	12	37	2	12	2	2	24	24	6	24	6	6	6	6	6	6
1670	6	6	6	6	26	6	16	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	2	77	2	2	2	4	24	2	4	16	4	21	15	77	2	2	4	4	2	15	2	2	24	24	2	2	24	24	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	24	24	6	24	6	6	6	26	6	6
1680	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	12	77	3	12	15	77	2	2	4	4	2	2	4	16	4	21	4	77	2	2	4	4	15	4	2	15	2	15	15	15	6	15	2	12	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	24	24	6	24	6	6	6	6	6	6
1690	6	6	6	6	6	6	4	4	3	3	16	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	24	37	24	24	2	15	2	2	2	2	12	37	2	2	2	2	37	37	37	37	12	37	15	37	4	16	4	4	15	15	2	15	2	12	2	2	12	12	2	12	6	24	6	6	6	6	6	6
1700	6	6	6	6	6	6	4	4	3	3	3	3	4	4	4	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	53	77	2	12	2	77	2	2	4	4	2	2	16	16	4	21	2	77	2	2	16	16	2	37	2	2	2	15	2	2	2	2	24	53	2	2	2	2	2	2	2	2	2	2	4	4	3	3	16	16	16	16	16	16	2	37	2	2	24	24	24	24	6	24	6	6	6	6	6	6
1710	6	6	6	6	6	6	4	4	3	3	16	3	4	4	15	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	2	4	2	2	16	16	4	21	12	77	2	2	3	16	2	12	2	2	2	2	2	2	2	2	2	37	2	2	2	2	15	15	2	15	2	2	15	15	16	16	4	16	15	15	2	15	2	2	2	2	2	2	24	2	6	24	6	6	6	6	6	6
1720	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	37	77	2	2	4	4	15	2	16	16	4	21	12	77	2	2	3	16	2	12	24	2	2	15	2	37	2	2	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	12	37	2	12	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1730	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	15	2	16	16	4	21	37	77	2	2	3	16	2	37	2	2	2	15	2	2	2	2	24	37	2	2	2	2	37	37	37	37	37	37	3	37	3	3	16	16	16	16	3	16	12	37	2	12	24	24	24	24	6	24	6	6	6	6	6	6
1740	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	15	2	37	16	4	21	2	77	2	2	37	37	2	37	24	2	2	15	2	2	2	2	2	37	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	12	37	2	12	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1750	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	12	77	2	12	2	77	2	2	4	4	15	2	16	16	4	21	37	77	2	2	4	16	2	37	2	2	2	15	2	2	2	2	12	12	2	2	2	2	15	37	2	15	2	2	37	37	3	3	3	3	37	37	37	37	12	37	3	12	2	12	2	2	6	2	6	6	6	6	6	6
1760	6	6	6	6	6	6	16	4	3	3	3	3	4	4	4	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	12	12	2	77	2	2	6	4	6	2	16	16	4	21	53	77	2	2	3	16	24	53	6	24	6	6	2	2	6	24	2	12	2	2	2	2	2	2	12	2	12	12	4	4	3	3	16	16	16	16	3	16	12	12	12	12	3	12	6	25	6	6	6	6	6	6	6	6
1770	6	6	6	6	6	6	37	4	3	3	3	3	4	4	2	37	4	4	2	37	2	2	2	2	2	2	19	19	2	2	2	2	37	77	3	12	2	77	2	2	4	4	15	2	16	16	4	21	12	77	2	2	3	16	2	12	2	2	2	15	2	2	2	2	2	37	2	2	2	19	2	2	2	2	2	2	2	15	3	3	37	37	37	37	37	37	12	37	2	12	2	2	2	2	6	2	6	6	6	6	6	6
1780	6	6	6	6	6	6	26	4	3	3	12	3	4	4	15	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	87	77	2	2	4	4	2	2	4	16	21	21	37	77	2	2	4	21	2	37	2	2	2	15	2	87	2	2	2	37	2	2	2	2	2	12	2	2	2	2	2	15	12	12	87	87	87	87	87	87	6	87	24	24	24	24	24	24	6	24	6	6	6	6	6	6
1790	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	2	77	2	2	4	4	15	2	16	16	4	21	37	77	2	2	3	16	2	37	24	2	2	15	2	2	2	2	2	2	2	2	2	2	15	15	2	15	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1800	6	6	6	6	6	6	4	4	3	3	3	3	4	4	15	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	87	77	2	2	4	4	24	87	6	24	2	15	2	2	2	2	2	2	2	2	2	2	37	37	12	37	2	12	15	15	3	3	4	16	15	15	15	15	2	15	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1810	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	19	19	2	2	2	2	77	77	2	12	24	77	2	2	46	4	2	2	16	16	4	21	77	77	2	2	3	16	12	77	2	12	2	46	24	24	24	24	2	77	2	2	2	19	2	15	2	2	2	2	37	37	3	3	3	16	37	37	37	37	12	37	12	12	2	12	24	24	6	24	6	6	6	6	6	6
1820	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	37	77	2	2	2	4	2	2	16	16	4	21	37	77	12	2	3	16	3	37	2	12	2	2	2	37	2	2	2	77	2	2	2	2	15	37	15	15	2	15	37	37	3	3	3	3	37	37	15	37	2	15	2	2	2	2	2	2	6	2	6	6	6	6	6	6
1830	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	15	77	2	2	2	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	2	2	2	15	2	2	2	2	2	2	2	2	2	2	2	2	2	2	87	37	3	3	3	16	87	87	53	87	24	53	24	24	24	24	24	24	6	24	6	6	6	6	6	6
1840	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	2	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	2	2	2	2	2	2	2	37	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	3	37	37	37	37	53	37	24	53	24	24	24	24	6	24	6	6	6	6	6	6
1850	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	12	77	2	2	2	4	2	2	16	16	4	21	15	77	2	2	4	16	2	15	24	2	2	2	2	12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1860	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	15	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	2	77	2	2	2	15	15	15	2	15	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	2	37	2	2	2	2	2	2	2	2	6	2	6	6	6	6	6	6
1870	6	6	6	6	6	6	5	4	3	3	20	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	12	77	2	2	2	4	2	2	16	16	4	21	77	77	2	2	3	16	43	77	2	43	2	2	37	12	2	37	53	77	2	2	2	2	2	2	2	2	2	2	37	37	20	20	3	20	37	37	37	37	2	37	2	2	53	53	53	53	6	53	6	6	6	6	6	6
1880	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	2	4	2	2	16	16	4	21	37	77	2	2	3	16	2	37	2	2	2	2	2	2	2	2	24	37	2	2	2	2	2	37	2	2	2	2	37	37	3	3	3	16	37	37	37	37	12	37	2	12	24	24	24	24	6	24	6	6	6	6	6	6
1890	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	12	77	2	2	37	4	2	2	4	16	4	21	87	77	2	2	4	4	87	87	56	87	2	37	2	12	2	2	2	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	3	37	37	2	37	2	2	2	2	2	2	2	2	6	56	6	6	6	6	6	6
1900	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	24	2	77	77	2	12	19	77	2	2	2	4	2	2	4	16	4	21	15	77	24	2	4	4	2	15	6	24	2	2	2	19	2	2	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	24	24	24	24	6	24	6	6	6	6	6	6	6	6
