Iteration	Posterior	Likelihood	Prior	m_b[4][1][1]	m_b[4][1][2]	m_b[4][1][3]	m_b[4][1][4]	m_b[4][1][5]	m_b[4][1][6]	m_b[4][1][7]	m_b[4][2][1]	m_b[4][2][2]	m_b[4][2][3]	m_b[4][2][4]	m_b[4][2][5]	m_b[4][2][6]	m_b[4][2][7]	m_b[4][3][1]	m_b[4][3][2]	m_b[4][3][3]	m_b[4][3][4]	m_b[4][3][5]	m_b[4][3][6]	m_b[4][3][7]	m_b[4][4][1]	m_b[4][4][2]	m_b[4][4][3]	m_b[4][4][4]	m_b[4][4][5]	m_b[4][4][6]	m_b[4][4][7]	m_b[4][5][1]	m_b[4][5][2]	m_b[4][5][3]	m_b[4][5][4]	m_b[4][5][5]	m_b[4][5][6]	m_b[4][5][7]	m_b[4][6][1]	m_b[4][6][2]	m_b[4][6][3]	m_b[4][6][4]	m_b[4][6][5]	m_b[4][6][6]	m_b[4][6][7]	m_b[4][7][1]	m_b[4][7][2]	m_b[4][7][3]	m_b[4][7][4]	m_b[4][7][5]	m_b[4][7][6]	m_b[4][7][7]	m_d[4][1][1]	m_d[4][1][2]	m_d[4][1][3]	m_d[4][1][4]	m_d[4][1][5]	m_d[4][1][6]	m_d[4][1][7]	m_d[4][2][1]	m_d[4][2][2]	m_d[4][2][3]	m_d[4][2][4]	m_d[4][2][5]	m_d[4][2][6]	m_d[4][2][7]	m_d[4][3][1]	m_d[4][3][2]	m_d[4][3][3]	m_d[4][3][4]	m_d[4][3][5]	m_d[4][3][6]	m_d[4][3][7]	m_d[4][4][1]	m_d[4][4][2]	m_d[4][4][3]	m_d[4][4][4]	m_d[4][4][5]	m_d[4][4][6]	m_d[4][4][7]	m_d[4][5][1]	m_d[4][5][2]	m_d[4][5][3]	m_d[4][5][4]	m_d[4][5][5]	m_d[4][5][6]	m_d[4][5][7]	m_d[4][6][1]	m_d[4][6][2]	m_d[4][6][3]	m_d[4][6][4]	m_d[4][6][5]	m_d[4][6][6]	m_d[4][6][7]	m_d[4][7][1]	m_d[4][7][2]	m_d[4][7][3]	m_d[4][7][4]	m_d[4][7][5]	m_d[4][7][6]	m_d[4][7][7]	m_e[4][1][1]	m_e[4][1][2]	m_e[4][1][3]	m_e[4][1][4]	m_e[4][1][5]	m_e[4][1][6]	m_e[4][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	r_b[4][1][1]	r_b[4][1][2]	r_b[4][1][3]	r_b[4][1][4]	r_b[4][1][5]	r_b[4][1][6]	r_b[4][1][7]	r_b[4][2][1]	r_b[4][2][2]	r_b[4][2][3]	r_b[4][2][4]	r_b[4][2][5]	r_b[4][2][6]	r_b[4][2][7]	r_b[4][3][1]	r_b[4][3][2]	r_b[4][3][3]	r_b[4][3][4]	r_b[4][3][5]	r_b[4][3][6]	r_b[4][3][7]	r_b[4][4][1]	r_b[4][4][2]	r_b[4][4][3]	r_b[4][4][4]	r_b[4][4][5]	r_b[4][4][6]	r_b[4][4][7]	r_b[4][5][1]	r_b[4][5][2]	r_b[4][5][3]	r_b[4][5][4]	r_b[4][5][5]	r_b[4][5][6]	r_b[4][5][7]	r_b[4][6][1]	r_b[4][6][2]	r_b[4][6][3]	r_b[4][6][4]	r_b[4][6][5]	r_b[4][6][6]	r_b[4][6][7]	r_b[4][7][1]	r_b[4][7][2]	r_b[4][7][3]	r_b[4][7][4]	r_b[4][7][5]	r_b[4][7][6]	r_b[4][7][7]	r_d[4][1][1]	r_d[4][1][2]	r_d[4][1][3]	r_d[4][1][4]	r_d[4][1][5]	r_d[4][1][6]	r_d[4][1][7]	r_d[4][2][1]	r_d[4][2][2]	r_d[4][2][3]	r_d[4][2][4]	r_d[4][2][5]	r_d[4][2][6]	r_d[4][2][7]	r_d[4][3][1]	r_d[4][3][2]	r_d[4][3][3]	r_d[4][3][4]	r_d[4][3][5]	r_d[4][3][6]	r_d[4][3][7]	r_d[4][4][1]	r_d[4][4][2]	r_d[4][4][3]	r_d[4][4][4]	r_d[4][4][5]	r_d[4][4][6]	r_d[4][4][7]	r_d[4][5][1]	r_d[4][5][2]	r_d[4][5][3]	r_d[4][5][4]	r_d[4][5][5]	r_d[4][5][6]	r_d[4][5][7]	r_d[4][6][1]	r_d[4][6][2]	r_d[4][6][3]	r_d[4][6][4]	r_d[4][6][5]	r_d[4][6][6]	r_d[4][6][7]	r_d[4][7][1]	r_d[4][7][2]	r_d[4][7][3]	r_d[4][7][4]	r_d[4][7][5]	r_d[4][7][6]	r_d[4][7][7]	r_e[4][1]	r_e[4][2]	r_e[4][3]	r_e[4][4]	r_e[4][5]	r_e[4][6]	r_e[4][7]	r_w[4][1]	r_w[4][2]	r_w[4][3]	r_w[4][4]	r_w[4][5]	r_w[4][6]	r_w[4][7]	rho_b	rho_d	rho_e	rho_w
0	-93130.64	-92985.14	-145.4954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1000	1000	1000	1	1	1	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	100	100	100	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0.1
10	-38695.66	-38697.85	2.188572	1.43099	0.0188613	0.0980944	1	1	1	21018.4	0.453323	1.43099	0.0210992	1	1	1	21018.4	2.35766	0.507111	1.43099	1	1	1	21018.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	874.508	874.508	874.508	1	1	1	17.4423	9.91445	9.91445	9.91445	0	0	0	0.250705	1	9.91445	9.91445	0	0	0	0.250705	1	1	9.91445	0	0	0	0.250705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4856	2.4856	2.4856	0	0	0	2.4856	2.17652	2.1726	2.16917	1000	1000	1000	2.17074	4.57045	12.8984	3.04697	0	0	0	4.54677	0.0121478	0.000160115	0.000832731	0.00848908	0.00848908	0.00848908	178.427	0.0038483	0.0121478	0.000179113	0.00848908	0.00848908	0.00848908	178.427	0.0200143	0.0043049	0.0121478	0.00848908	0.00848908	0.00848908	178.427	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	0.00848908	7.42376	7.42376	7.42376	0.00848908	0.00848908	0.00848908	0.148069	0.294131	0.294131	0.294131	0	0	0	0.00743765	0.029667	0.294131	0.294131	0	0	0	0.00743765	0.029667	0.029667	0.294131	0	0	0	0.00743765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0737402	0.0737402	0.0737402	0	0	0	0.0737402	0.0271272	0.0270785	0.0270356	12.4636	12.4636	12.4636	0.0270552	0.159339	0.449674	0.106226	0	0	0	0.158514	0.008489078	0.02966696	0.0124636	0.03486292
20	-38490.31	-38484.17	-6.14596	17.0631	0.590855	2.21633	1	1	1	2928.47	0.590855	17.0631	0.646433	1	1	1	2928.47	2.21633	0.646433	17.0631	1	1	1	2928.47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2928.47	2928.47	2928.47	1	1	1	113.88	0.3555	24.2868	4.61546	0	0	0	0.000480012	1.93654	0.3555	21.6936	0	0	0	0.000480012	0.36802	1.72977	0.3555	0	0	0	0.000480012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601999	0.00601999	0.00601999	0	0	0	0.3555	1.87958	1.39346	0.156589	1000	1000	1000	0.716604	3.20627	8.62082	4.12459	0	0	0	3.19352	0.433306	0.0150043	0.0562822	0.0253943	0.0253943	0.0253943	74.3665	0.0150043	0.433306	0.0164157	0.0253943	0.0253943	0.0253943	74.3665	0.0562822	0.0164157	0.433306	0.0253943	0.0253943	0.0253943	74.3665	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	0.0253943	74.3665	74.3665	74.3665	0.0253943	0.0253943	0.0253943	2.89191	0.0019318	0.131976	0.0250806	0	0	0	2.60841e-06	0.0105233	0.0019318	0.117884	0	0	0	2.60841e-06	0.00199984	0.00939965	0.0019318	0	0	0	2.60841e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27129e-05	3.27129e-05	3.27129e-05	0	0	0	0.0019318	0.0552565	0.0409654	0.00460345	29.3984	29.3984	29.3984	0.021067	0.218423	0.587283	0.280983	0	0	0	0.217555	0.02539429	0.005434048	0.0293984	0.06812379
30	-38503.6	-38474.41	-29.19329	8.3548	0.269913	1.04046	1	1	1	3989.93	0.584475	8.3548	0.29585	1	1	1	3989.93	2.25303	0.64064	8.3548	1	1	1	3989.93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1842.56	1842.56	1842.56	1	1	1	67.0094	0.932792	21.8309	6.32127	0	0	0	0.00333348	1.63771	0.932792	20.0664	0	0	0	0.00333348	0.474207	1.50534	0.932792	0	0	0	0.00333348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0444359	0.0444359	0.0444359	0	0	0	0.932792	1	1	0.0447167	1000	1000	1000	1	5.6017	5.57941	0.116222	0	0	0	5.56881	0.862174	0.0278537	0.10737	0.103195	0.103195	0.103195	411.741	0.0603149	0.862174	0.0305303	0.103195	0.103195	0.103195	411.741	0.232501	0.0661109	0.862174	0.103195	0.103195	0.103195	411.741	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	190.143	190.143	190.143	0.103195	0.103195	0.103195	6.91503	0.0090405	0.211583	0.061265	0	0	0	3.23076e-05	0.0158724	0.0090405	0.194481	0	0	0	3.23076e-05	0.00459596	0.0145895	0.0090405	0	0	0	3.23076e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430667	0.000430667	0.000430667	0	0	0	0.0090405	0.0283126	0.0283126	0.00126605	28.3126	28.3126	28.3126	0.0283126	0.776337	0.773247	0.0161071	0	0	0	0.771778	0.103195	0.009691871	0.02831264	0.1385894
40	-38483.5	-38467.53	-15.96972	4.40052	1.0707	1.43672	1	1	1	3.79436	0.456641	4.40052	1.09235	1	1	1	3.79436	0.612742	0.465872	4.40052	1	1	1	3.79436	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.89677	8.89677	8.89677	1	1	1	8.41891	1.53399	39.324	10.9861	0	0	0	0.0028272	1.66121	1.53399	36.0577	0	0	0	0.0028272	0.464098	1.52322	1.53399	0	0	0	0.0028272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0669254	0.0669254	0.0669254	0	0	0	1.53399	3.89675	4.34643	25.1456	1000	1000	1000	5.57618	4.14574	5.14914	5.13426	0	0	0	4.12564	0.209628	0.0510052	0.0684411	0.0476372	0.0476372	0.0476372	0.180753	0.0217531	0.209628	0.0520363	0.0476372	0.0476372	0.0476372	0.180753	0.0291893	0.0221928	0.209628	0.0476372	0.0476372	0.0476372	0.180753	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.0476372	0.423817	0.423817	0.423817	0.0476372	0.0476372	0.0476372	0.401053	0.0136887	0.350911	0.0980355	0	0	0	2.52288e-05	0.0148239	0.0136887	0.321764	0	0	0	2.52288e-05	0.00414142	0.0135926	0.0136887	0	0	0	2.52288e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000597214	0.000597214	0.000597214	0	0	0	0.0136887	0.0912612	0.101793	0.588905	23.4198	23.4198	23.4198	0.130593	0.464436	0.576844	0.575177	0	0	0	0.462184	0.04763719	0.008923583	0.02341983	0.1120272
50	-38486.08	-38473.31	-12.76387	0.0440012	0.0440012	0.0440012	1	1	1	1	1	0.0440012	0.0440012	1	1	1	1	1	1	0.0440012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0440012	0.0440012	0.0440012	1	1	1	0.0440012	45.4138	98.1674	98.0917	0	0	0	0.528496	2.16162	45.4138	98.1602	0	0	0	0.528496	2.15995	2.16146	45.4138	0	0	0	0.528496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.001	24.001	24.001	0	0	0	11.1254	1.4234	1.42224	1.42121	1000	1000	1000	1.42168	3.84307	3.83111	0.368506	0	0	0	3.82542	0.000440211	0.000440211	0.000440211	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.000440211	0.000440211	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.000440211	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.0100045	0.000440211	0.000440211	0.000440211	0.0100045	0.0100045	0.0100045	0.000440211	0.170549	0.368661	0.368377	0	0	0	0.00198473	0.00811782	0.170549	0.368634	0	0	0	0.00198473	0.00811157	0.00811723	0.170549	0	0	0	0.00198473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0901343	0.0901343	0.0901343	0	0	0	0.0417807	0.0364748	0.036445	0.0364188	25.6251	25.6251	25.6251	0.0364308	0.404897	0.403637	0.038825	0	0	0	0.403038	0.01000452	0.003755434	0.02562514	0.1053577
60	-38498.84	-38459.57	-39.27385	0.546613	0.239042	0.330886	1	1	1	170.77	0.878617	0.546613	0.244386	1	1	1	170.77	1.2162	0.898258	0.546613	1	1	1	170.77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46.4609	46.4609	46.4609	1	1	1	20.9061	7.4742	100.467	89.9986	0	0	0	0.267048	10.6679	7.4742	99.7121	0	0	0	0.267048	9.55628	10.5877	7.4742	0	0	0	0.267048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51499	2.51499	2.51499	0	0	0	0.322539	2.57282	0.646928	31.5941	1000	1000	1000	2.56452	5.27099	5.25075	3.4962	0	0	0	5.24112	0.0246209	0.0107671	0.0149039	0.0450425	0.0450425	0.0450425	7.69193	0.0395751	0.0246209	0.0110078	0.0450425	0.0450425	0.0450425	7.69193	0.0547805	0.0404598	0.0246209	0.0450425	0.0450425	0.0450425	7.69193	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	0.0450425	2.09272	2.09272	2.09272	0.0450425	0.0450425	0.0450425	0.941664	0.0382389	0.514003	0.460444	0	0	0	0.00136625	0.0545782	0.0382389	0.51014	0	0	0	0.00136625	0.0488911	0.0541679	0.0382389	0	0	0	0.00136625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012867	0.012867	0.012867	0	0	0	0.00165015	0.0339478	0.00853606	0.416876	13.1948	13.1948	13.1948	0.0338383	0.549053	0.546945	0.364182	0	0	0	0.545942	0.04504254	0.005116124	0.01319477	0.1041651
70	-38494.04	-38456.52	-37.51672	1	0.830708	0.830862	1	1	1	19.3598	0.830708	1	0.830723	1	1	1	19.3598	0.830862	0.830723	1	1	1	1	19.3598	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.3598	19.3598	19.3598	1	1	1	23.294	0.0537236	19.8372	5.06594	0	0	0	0.0149581	19.8372	0.0537236	18.0776	0	0	0	0.0149581	5.06594	18.0776	0.0537236	0	0	0	0.0149581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149581	0.0149581	0.0149581	0	0	0	0.0370763	4.76172	4.74456	4.72951	1000	1000	1000	4.73639	12.8516	41.0246	0.219525	0	0	0	2.62797	0.0204058	0.0169513	0.0169544	0.0204058	0.0204058	0.0204058	0.395052	0.0169513	0.0204058	0.0169515	0.0204058	0.0204058	0.0204058	0.395052	0.0169544	0.0169515	0.0204058	0.0204058	0.0204058	0.0204058	0.395052	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.0204058	0.395052	0.395052	0.395052	0.0204058	0.0204058	0.0204058	0.475333	0.000318288	0.117527	0.0300134	0	0	0	8.86198e-05	0.117527	0.000318288	0.107102	0	0	0	8.86198e-05	0.0300134	0.107102	0.000318288	0	0	0	8.86198e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86198e-05	8.86198e-05	8.86198e-05	0	0	0	0.00021966	0.188995	0.188314	0.187716	39.6904	39.6904	39.6904	0.187989	0.940103	3.00097	0.0160584	0	0	0	0.192237	0.02040578	0.00592455	0.03969045	0.07315052
80	-38484.53	-38453.29	-31.24019	22.4676	0.561457	2.39419	1	1	1	791.633	0.561457	22.4676	0.619649	1	1	1	791.633	2.39419	0.619649	22.4676	1	1	1	791.633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	791.633	791.633	791.633	1	1	1	22.4676	0.0266054	15.8672	2.92152	0	0	0	0.00337472	15.8672	0.0266054	14.1417	0	0	0	0.00337472	2.92152	14.1417	0.0266054	0	0	0	0.00337472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337472	0.00337472	0.00337472	0	0	0	0.0266054	2.82527	0.12101	0.120755	1000	1000	1000	2.81526	5.53585	19.8136	1.8704	0	0	0	5.50356	1.13293	0.0283116	0.120728	0.0504253	0.0504253	0.0504253	39.9183	0.0283116	1.13293	0.031246	0.0504253	0.0504253	0.0504253	39.9183	0.120728	0.031246	1.13293	0.0504253	0.0504253	0.0504253	39.9183	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	0.0504253	39.9183	39.9183	39.9183	0.0504253	0.0504253	0.0504253	1.13293	0.000208111	0.124116	0.0228525	0	0	0	2.63975e-05	0.124116	0.000208111	0.110619	0	0	0	2.63975e-05	0.0228525	0.110619	0.000208111	0	0	0	2.63975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63975e-05	2.63975e-05	2.63975e-05	0	0	0	0.000208111	0.215688	0.00923818	0.00921868	76.3423	76.3423	76.3423	0.214923	0.150194	0.537566	0.0507461	0	0	0	0.149318	0.05042525	0.007822149	0.07634233	0.02713113
90	-38500.25	-38455.29	-44.96044	50.8604	0.0761641	0.476152	1	1	1	1994.85	0.0761641	50.8604	0.0862779	1	1	1	1994.85	0.476152	0.0862779	50.8604	1	1	1	1994.85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1994.85	1994.85	1994.85	1	1	1	140.12	0.0299846	5.12202	0.998231	0	0	0	0.00144352	5.12202	0.0299846	4.58285	0	0	0	0.00144352	0.998231	4.58285	0.0299846	0	0	0	0.00144352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144352	0.00144352	0.00144352	0	0	0	0.0299846	1.86392	0.520183	0.100002	1000	1000	1000	0.900227	5.4209	5.39974	0.322367	0	0	0	5.38967	0.571419	0.000855708	0.00534959	0.0112351	0.0112351	0.0112351	22.4122	0.000855708	0.571419	0.000969337	0.0112351	0.0112351	0.0112351	22.4122	0.00534959	0.000969337	0.571419	0.0112351	0.0112351	0.0112351	22.4122	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	0.0112351	22.4122	22.4122	22.4122	0.0112351	0.0112351	0.0112351	1.57426	0.00076235	0.130226	0.0253797	0	0	0	3.67009e-05	0.130226	0.00076235	0.116518	0	0	0	3.67009e-05	0.0253797	0.116518	0.00076235	0	0	0	3.67009e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67009e-05	3.67009e-05	3.67009e-05	0	0	0	0.00076235	0.271761	0.0758428	0.0145803	145.8	145.8	145.8	0.131253	0.689784	0.687092	0.0410198	0	0	0	0.68581	0.01123506	0.02542469	0.1458003	0.1272454
