Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
2660	-4681.3	-4677.77	-3.53193	2.064141	0.03178141	0.213936	0.304519	0.23176	0.249786
2670	-4681.76	-4677.97	-3.78528	1.948437	0.02764504	0.212004	0.30394	0.227537	0.256519
2680	-4680.45	-4676.82	-3.62291	1.92198	0.02919457	0.208138	0.303256	0.238164	0.250442
2690	-4683.4	-4679.6	-3.8029	2.114126	0.02898924	0.213476	0.310202	0.220853	0.255468
2700	-4684.4	-4680.74	-3.66223	1.529715	0.0251339	0.220246	0.302011	0.231568	0.246175
2710	-4682.43	-4678.75	-3.68481	1.802468	0.02736597	0.215324	0.281334	0.2472	0.256141
2720	-4685.18	-4681.58	-3.60622	2.306475	0.03344063	0.208777	0.284914	0.255854	0.250455
2730	-4681.86	-4678.16	-3.6994	1.822717	0.02739998	0.209709	0.287195	0.243861	0.259235
2740	-4682.1	-4678.29	-3.80853	2.081331	0.02861784	0.215687	0.287303	0.253876	0.243134
2750	-4683.81	-4680.36	-3.45644	1.688939	0.02875131	0.223176	0.291718	0.228495	0.256612
2760	-4684.14	-4680.56	-3.57495	1.691912	0.0274851	0.207489	0.278571	0.261964	0.251976
2770	-4683.11	-4679.35	-3.75271	1.708516	0.02583221	0.208584	0.294837	0.235835	0.260745
2780	-4683.8	-4679.52	-4.28074	2.202668	0.0248322	0.20868	0.299171	0.237477	0.254672
2790	-4680.55	-4676.95	-3.59766	1.892745	0.02919494	0.213826	0.292421	0.248753	0.244999
2800	-4680.59	-4677.11	-3.48556	1.864376	0.03022765	0.209863	0.306595	0.237833	0.245709
2810	-4683.35	-4679.49	-3.86852	1.767816	0.02523098	0.212082	0.27998	0.258113	0.249826
2820	-4685.97	-4682.31	-3.66495	2.297085	0.03253493	0.215326	0.280051	0.249291	0.255332
2830	-4683.18	-4679.13	-4.04798	2.249488	0.0275081	0.215095	0.308656	0.231589	0.244661
2840	-4680.13	-4676.5	-3.63218	1.933786	0.02920468	0.212869	0.300657	0.240693	0.24578
2850	-4686.54	-4682.78	-3.75884	2.407352	0.03244242	0.211272	0.293975	0.22702	0.267733
2860	-4682.68	-4678.5	-4.18093	2.016948	0.02434194	0.20937	0.294767	0.247982	0.247881
2870	-4683.15	-4679.82	-3.33798	2.094244	0.0348139	0.210176	0.301593	0.249479	0.238752
2880	-4681.19	-4677.88	-3.31361	1.876518	0.0325536	0.20821	0.303156	0.239543	0.249092
2890	-4683.25	-4679.61	-3.64003	1.955485	0.02932869	0.203025	0.28325	0.254017	0.259708
2900	-4682.74	-4679.06	-3.68793	1.999037	0.02920314	0.220412	0.297584	0.251768	0.230237
2910	-4682.21	-4678.9	-3.31033	1.759751	0.03125751	0.217714	0.2937	0.233715	0.254872
2920	-4686.16	-4683.27	-2.89208	1.612613	0.03519379	0.214511	0.293505	0.253414	0.238569
2930	-4682.3	-4678.77	-3.52432	1.913344	0.03027187	0.206087	0.293752	0.260242	0.23992
2940	-4683.08	-4679.48	-3.60127	1.804869	0.02828911	0.199973	0.293731	0.251112	0.255183
2950	-4681.49	-4677.81	-3.68417	2.082642	0.03007327	0.214507	0.290789	0.240878	0.253826
2960	-4682.3	-4678.88	-3.422	1.795963	0.03027111	0.215962	0.282569	0.251962	0.249507
2970	-4682.77	-4679.18	-3.58928	2.265033	0.03321604	0.206758	0.298222	0.246279	0.248742
2980	-4681.35	-4677.97	-3.37925	1.69153	0.02966818	0.217287	0.3018	0.236535	0.244377
2990	-4686.47	-4682.37	-4.09625	2.22106	0.02676676	0.225747	0.282217	0.247345	0.244691
3000	-4683.63	-4680.27	-3.35496	1.821614	0.0313853	0.221527	0.310416	0.221145	0.246912
3010	-4683.97	-4680.84	-3.13577	1.952957	0.03607347	0.218245	0.298794	0.238941	0.244019
3020	-4682.44	-4679	-3.44253	1.643242	0.02844331	0.213218	0.302658	0.249577	0.234547
3030	-4682.08	-4678.61	-3.46647	1.673609	0.02848366	0.217091	0.309183	0.233723	0.240003
3040	-4683.97	-4679.94	-4.02825	2.413797	0.02916384	0.212247	0.300871	0.245528	0.241354
3050	-4685.54	-4681.17	-4.37032	2.00956	0.02267115	0.222113	0.29019	0.243558	0.24414
3060	-4681.86	-4678.09	-3.77135	1.988439	0.02816455	0.204297	0.296914	0.2557	0.243089
3070	-4681.92	-4678.59	-3.32893	1.630301	0.02960647	0.214041	0.293129	0.243817	0.249013
3080	-4684.85	-4681.26	-3.59466	1.595166	0.02637472	0.220876	0.275383	0.25614	0.247601
3090	-4682.88	-4679.15	-3.72963	1.836636	0.02721076	0.216802	0.311576	0.2229	0.248723
3100	-4681.52	-4678.01	-3.5009	1.938038	0.03081989	0.213071	0.298715	0.229944	0.25827
3110	-4684.91	-4681.5	-3.40918	1.485813	0.02723241	0.214865	0.309204	0.233503	0.242428
3120	-4682.71	-4679.3	-3.40653	1.703488	0.02947455	0.213742	0.312857	0.240256	0.233145
3130	-4683.77	-4680.13	-3.64149	2.150972	0.03129814	0.203506	0.289771	0.23903	0.267694
3140	-4680.55	-4676.95	-3.60289	2.039265	0.03062079	0.209695	0.297689	0.241899	0.250717
3150	-4681.92	-4677.99	-3.93611	2.007648	0.02660005	0.213648	0.29994	0.230405	0.256007
3160	-4682.72	-4678.94	-3.77557	2.174971	0.02989088	0.217007	0.296506	0.250846	0.235641
3170	-4686.01	-4682.08	-3.92348	1.865258	0.02552237	0.215106	0.282843	0.230704	0.271347
3180	-4682.16	-4678.86	-3.29305	1.829594	0.0322816	0.208299	0.289497	0.251624	0.25058
3190	-4682.17	-4678.59	-3.57933	1.973825	0.0302329	0.204554	0.310088	0.229467	0.255891
3200	-4681.83	-4678.43	-3.40086	1.92893	0.03199674	0.217655	0.29061	0.241305	0.250431
3210	-4683.14	-4679.05	-4.09217	2.261891	0.02714836	0.217112	0.296811	0.24223	0.243846
3220	-4680.85	-4677.13	-3.72353	1.839546	0.02730128	0.216171	0.305095	0.235946	0.242788
3230	-4682.58	-4679.1	-3.48004	1.794577	0.02956447	0.203249	0.289128	0.254549	0.253074
3240	-4682.87	-4679.63	-3.23916	1.816469	0.03285069	0.215394	0.28579	0.247722	0.251093
3250	-4683.19	-4679.52	-3.66151	2.018347	0.02970172	0.225916	0.300975	0.236155	0.236953
3260	-4686.44	-4683.48	-2.96337	1.496872	0.03265419	0.218814	0.296792	0.230775	0.253619
3270	-4682.41	-4678.45	-3.95979	2.124236	0.02736109	0.20529	0.308444	0.23289	0.253375
3280	-4684.71	-4681.25	-3.46026	1.70363	0.02885783	0.213429	0.294855	0.224004	0.267713
3290	-4680.91	-4677.21	-3.70178	1.776672	0.02695145	0.213919	0.302027	0.243814	0.240239
3300	-4681.23	-4677.88	-3.35105	1.976196	0.03321034	0.2101	0.302256	0.238189	0.249456
3310	-4681.04	-4677.69	-3.354	1.947234	0.0328314	0.210442	0.300873	0.239488	0.249197
3320	-4682.16	-4678.85	-3.30988	1.741241	0.03105504	0.214172	0.312164	0.23585	0.237815
3330	-4682.03	-4678.6	-3.42546	1.60153	0.02821031	0.21288	0.296384	0.242192	0.248544
3340	-4681.28	-4677.59	-3.6926	1.844028	0.02767057	0.216028	0.288155	0.253248	0.242569
3350	-4685.46	-4681.9	-3.55728	2.087151	0.03170148	0.226627	0.285055	0.241249	0.24707
3360	-4681.62	-4678.32	-3.30339	1.727018	0.03097695	0.218079	0.302128	0.234131	0.245662
3370	-4683.72	-4680.48	-3.24267	1.804055	0.03265517	0.202159	0.294373	0.257261	0.246207
3380	-4684.33	-4680.6	-3.73886	1.883656	0.02754513	0.220003	0.276036	0.245649	0.258311
3390	-4688.07	-4685.05	-3.01765	1.589555	0.03308744	0.199893	0.28724	0.25253	0.260336
3400	-4681.17	-4677.69	-3.47935	2.065047	0.03248442	0.207683	0.304623	0.238318	0.249377
3410	-4681.13	-4677.24	-3.89286	2.018479	0.02713806	0.208867	0.294176	0.242455	0.254502
3420	-4684.82	-4680.89	-3.93027	1.657641	0.02377801	0.227355	0.294311	0.241729	0.236606
3430	-4682.51	-4679.24	-3.27223	1.889972	0.03327696	0.219353	0.302467	0.241857	0.236323
3440	-4683.16	-4679.66	-3.49937	1.952378	0.03099209	0.208331	0.296005	0.262313	0.233351
3450	-4680.63	-4676.95	-3.68399	1.945223	0.02872598	0.209209	0.294435	0.241459	0.254896
3460	-4681.23	-4677.34	-3.88791	1.977607	0.02683165	0.206125	0.302718	0.240642	0.250515
3470	-4687.99	-4684.67	-3.31366	2.177608	0.0362262	0.204697	0.279973	0.248014	0.267316
3480	-4682.06	-4678.83	-3.22587	1.78745	0.03268396	0.206101	0.303441	0.242707	0.247751
3490	-4681.33	-4677.48	-3.84255	1.899561	0.02661198	0.209912	0.30857	0.236434	0.245084
3500	-4684	-4680.45	-3.55624	1.820468	0.02894745	0.207133	0.305346	0.222797	0.264724
3510	-4681.84	-4677.99	-3.84683	2.243952	0.02970949	0.206393	0.304653	0.239625	0.24933
3520	-4681.86	-4678.36	-3.49927	1.655667	0.02794456	0.210226	0.301744	0.237483	0.250547
3530	-4682.6	-4679.23	-3.37087	1.892392	0.03197699	0.212446	0.30223	0.253792	0.231533
3540	-4682.35	-4679.13	-3.21542	1.70504	0.03184812	0.209612	0.306895	0.234367	0.249125
3550	-4681.43	-4677.68	-3.74756	1.853064	0.02717341	0.214507	0.285774	0.25244	0.247279
3560	-4682.04	-4678.53	-3.50675	1.980461	0.03120055	0.221802	0.29765	0.241474	0.239073
3570	-4682.66	-4678.96	-3.69617	2.099726	0.03009972	0.205817	0.317892	0.233426	0.242865
3580	-4684.44	-4680.35	-4.09591	2.139599	0.02610278	0.222392	0.296906	0.248735	0.231966
3590	-4682.36	-4678.65	-3.71614	1.846076	0.02743924	0.216903	0.293027	0.23009	0.25998
3600	-4681.53	-4677.88	-3.65443	1.952843	0.02913642	0.20617	0.31003	0.231631	0.252168
3610	-4680.41	-4676.85	-3.55621	1.855881	0.02930377	0.209603	0.295691	0.245486	0.24922
3620	-4684	-4680.42	-3.58253	1.953931	0.02999028	0.215655	0.322543	0.229717	0.232084
3630	-4682.53	-4679.03	-3.50023	1.72776	0.02865122	0.222676	0.308357	0.231676	0.23729
3640	-4681.8	-4678.11	-3.68979	1.90068	0.028235	0.212891	0.282794	0.253147	0.251168
3650	-4684.08	-4680.12	-3.95647	2.324144	0.02917874	0.200261	0.296547	0.242716	0.260475
3660	-4680.83	-4677.23	-3.6019	2.019327	0.03042717	0.212886	0.30517	0.231865	0.250079
3670	-4683.42	-4680.07	-3.34485	1.889159	0.03228296	0.213962	0.31632	0.239989	0.229729
3680	-4684.84	-4681.8	-3.04113	1.800261	0.03549077	0.21978	0.307582	0.23939	0.233249
3690	-4681.26	-4677.8	-3.46039	1.905059	0.0309713	0.208304	0.29569	0.237385	0.25862
3700	-4681.8	-4678.18	-3.61543	1.771969	0.02781773	0.214382	0.284239	0.255299	0.24608
3710	-4680.89	-4677.34	-3.54742	1.930475	0.03017076	0.212988	0.306455	0.243511	0.237045
3720	-4685.33	-4682	-3.33698	1.574723	0.02892341	0.207282	0.284203	0.26608	0.242434
3730	-4685.01	-4681.19	-3.81762	1.891538	0.0267952	0.229485	0.288921	0.251083	0.230512
3740	-4682.75	-4678.96	-3.79527	1.796054	0.02617989	0.209372	0.281991	0.255561	0.253076
3750	-4684.12	-4680.56	-3.55907	1.626379	0.02702833	0.211185	0.288845	0.26483	0.23514
3760	-4680.83	-4677.4	-3.42629	1.837399	0.03066413	0.214131	0.292316	0.245856	0.247696
3770	-4682.95	-4678.87	-4.07566	1.885873	0.02428104	0.21115	0.302681	0.232704	0.253466
3780	-4682.24	-4678.7	-3.5364	1.670594	0.02769038	0.221566	0.288406	0.243013	0.247015
3790	-4686.21	-4682.45	-3.75846	1.908264	0.02756305	0.221306	0.29948	0.260873	0.218341
3800	-4683.93	-4680.07	-3.86295	1.763474	0.02524707	0.202806	0.303214	0.251966	0.242014
3810	-4683.03	-4679.5	-3.52626	1.926587	0.03038681	0.208101	0.309319	0.222741	0.25984
3820	-4681.02	-4677.15	-3.87144	1.920941	0.02650636	0.210372	0.29344	0.250152	0.246037
3830	-4682.99	-4678.81	-4.18013	1.990584	0.02415026	0.212284	0.293602	0.239295	0.254819
3840	-4681.21	-4677.6	-3.60901	1.7068	0.02726743	0.216382	0.297897	0.236845	0.248875
3850	-4682.4	-4678.91	-3.48272	2.073132	0.03252958	0.214201	0.288362	0.244296	0.253141
3860	-4682.68	-4679.23	-3.45121	1.668309	0.02860047	0.204096	0.298234	0.246978	0.250692
3870	-4682.07	-4678.66	-3.41068	1.781619	0.03025451	0.217548	0.284949	0.246595	0.250908
3880	-4681.56	-4678.13	-3.42803	2.021409	0.03268204	0.206847	0.301587	0.235424	0.256142
3890	-4681.95	-4678.2	-3.7525	2.019508	0.02866525	0.208163	0.289421	0.259097	0.243319
3900	-4684.96	-4681.95	-3.01428	1.944915	0.03791886	0.208466	0.306287	0.233215	0.252033
3910	-4683.55	-4680.43	-3.12304	1.963303	0.03641079	0.207062	0.307481	0.23789	0.247566
3920	-4681.18	-4677.7	-3.48319	2.024369	0.03198182	0.209045	0.293951	0.247026	0.249978
3930	-4681.77	-4678.05	-3.72507	1.752794	0.02649794	0.20651	0.300688	0.246431	0.246371
3940	-4680.76	-4677.17	-3.58464	1.768241	0.02811598	0.212044	0.302225	0.244672	0.24106
3950	-4685.69	-4682.11	-3.57542	1.777108	0.02830369	0.221553	0.273894	0.269859	0.234694
3960	-4681.58	-4678.25	-3.32798	1.888289	0.03249784	0.21707	0.306453	0.234352	0.242126
3970	-4682.66	-4679.18	-3.4816	1.65451	0.02812559	0.216713	0.282748	0.254137	0.246402
3980	-4681.58	-4677.85	-3.73306	1.929844	0.0280364	0.219616	0.301658	0.229304	0.249422
3990	-4681.55	-4678.04	-3.50375	1.764095	0.02897803	0.209021	0.308515	0.232987	0.249477
4000	-4682.72	-4678.93	-3.79555	1.86453	0.02678112	0.213575	0.307934	0.2239	0.25459
4010	-4683.73	-4679.88	-3.85503	1.973006	0.02713077	0.208506	0.27959	0.247873	0.26403
4020	-4681.13	-4677.3	-3.83485	2.03981	0.027945	0.208689	0.308206	0.234972	0.248134
4030	-4682.17	-4678.77	-3.39881	2.116601	0.03419705	0.206285	0.302842	0.241637	0.249237
4040	-4686.35	-4683.15	-3.20613	1.92838	0.03469232	0.205249	0.304107	0.261623	0.229021
4050	-4683.84	-4680.45	-3.39291	1.906174	0.03184474	0.207086	0.280428	0.251113	0.261372
4060	-4683.23	-4679.72	-3.51572	1.881684	0.03004553	0.224232	0.284537	0.249717	0.241514
4070	-4680.86	-4677.46	-3.4	1.947537	0.03221808	0.211571	0.305194	0.236476	0.24676
4080	-4682.68	-4678.8	-3.88582	2.015531	0.02718542	0.223226	0.296284	0.232855	0.247635
4090	-4681.58	-4677.83	-3.74616	1.981675	0.02837881	0.21932	0.30421	0.229494	0.246975
4100	-4685.29	-4681.31	-3.97435	2.037171	0.02646526	0.218726	0.289912	0.225493	0.265869
4110	-4681.45	-4677.74	-3.70964	1.940023	0.0283896	0.221692	0.301089	0.237157	0.240062
4120	-4681.49	-4678.04	-3.4471	2.052462	0.03277697	0.212952	0.307914	0.234002	0.245132
4130	-4680.82	-4677.23	-3.58617	2.039008	0.03082491	0.215276	0.300486	0.23626	0.247978
4140	-4683.26	-4680.02	-3.24032	1.918263	0.03407017	0.204726	0.3127	0.242817	0.239756
4150	-4684.32	-4680.56	-3.7553	1.911664	0.02762796	0.196032	0.304392	0.242478	0.257098
4160	-4682.58	-4679.3	-3.28117	1.843952	0.03260822	0.220966	0.292433	0.239142	0.24746
4170	-4680.53	-4676.88	-3.65304	2.009603	0.02971457	0.21416	0.301593	0.235229	0.249019
4180	-4682.97	-4679.32	-3.64985	2.009108	0.02974729	0.220816	0.313143	0.232863	0.233178
4190	-4681.52	-4677.59	-3.93142	1.898437	0.02572269	0.214503	0.296741	0.235773	0.252984
4200	-4680.5	-4676.89	-3.61678	1.913474	0.02918087	0.210178	0.293215	0.244053	0.252554
4210	-4683.36	-4680.09	-3.27499	1.748662	0.03158273	0.201755	0.308011	0.244621	0.245613
4220	-4680.53	-4676.72	-3.809	2.028238	0.02812061	0.209025	0.299196	0.242853	0.248925
4230	-4680.5	-4676.82	-3.67709	2.054441	0.02987651	0.212557	0.298007	0.241588	0.247849
4240	-4683.5	-4679.95	-3.54965	1.663775	0.02748347	0.207951	0.283309	0.249668	0.259072
4250	-4681.14	-4677.57	-3.57112	1.919173	0.02977132	0.210307	0.290207	0.25461	0.244877
4260	-4682.98	-4679.78	-3.20193	1.66467	0.03155112	0.213734	0.307861	0.243749	0.234656
4270	-4681.02	-4677.53	-3.48772	1.818632	0.02972352	0.214582	0.30709	0.241325	0.237003
4280	-4683.84	-4680.51	-3.32713	2.038765	0.03429545	0.198681	0.306954	0.238834	0.25553
4290	-4682.87	-4679.39	-3.4785	1.648682	0.02810151	0.224464	0.298685	0.231876	0.244975
4300	-4684.6	-4681.44	-3.16781	1.970263	0.03580662	0.208123	0.318182	0.23675	0.236945
4310	-4683.06	-4679.75	-3.3055	1.626222	0.02983921	0.212003	0.310723	0.231304	0.24597
4320	-4681.86	-4678.26	-3.59948	1.864993	0.02889854	0.21164	0.292323	0.233716	0.262321
4330	-4682.96	-4679.29	-3.66657	2.211744	0.03161164	0.213578	0.303952	0.22632	0.25615
4340	-4681.31	-4677.65	-3.65693	2.038868	0.02996116	0.214885	0.306147	0.243129	0.23584
4350	-4681.24	-4677.53	-3.70696	2.108489	0.03005735	0.214073	0.29534	0.247782	0.242805
4360	-4682.88	-4679.44	-3.44079	1.682869	0.02886639	0.204622	0.304773	0.248772	0.241833
4370	-4680.3	-4676.7	-3.59852	1.926451	0.02952241	0.213668	0.295163	0.242958	0.248211
4380	-4681.83	-4678.56	-3.26353	1.877688	0.03324984	0.212363	0.299005	0.234282	0.254349
4390	-4681.08	-4677.38	-3.69378	2.125406	0.03038575	0.210171	0.297373	0.247628	0.244828
4400	-4681.61	-4677.72	-3.89586	2.036362	0.02726395	0.212936	0.290079	0.240705	0.25628
4410	-4680.75	-4677.07	-3.68319	1.939844	0.02868315	0.215843	0.305622	0.23265	0.245885
4420	-4680.67	-4676.88	-3.79229	1.951477	0.02759799	0.211085	0.305367	0.235749	0.247798
4430	-4680.65	-4677.15	-3.49591	1.879654	0.0302631	0.207116	0.298191	0.243299	0.251394
4440	-4681.08	-4677.28	-3.80277	2.132294	0.02916263	0.209917	0.300596	0.236223	0.253264
4450	-4682.01	-4678.49	-3.51361	2.002323	0.03134877	0.220557	0.30143	0.241463	0.23655
4460	-4686.29	-4682.31	-3.97581	1.945304	0.02568335	0.230849	0.300114	0.224441	0.244595
4470	-4683.51	-4679.33	-4.17822	1.867574	0.02325365	0.21202	0.297313	0.237324	0.253343
4480	-4680.89	-4677.21	-3.67563	2.02876	0.02963863	0.216239	0.29885	0.234897	0.250014
4490	-4682	-4678.16	-3.84186	2.274372	0.03005964	0.208777	0.298728	0.244582	0.247912
4500	-4681.34	-4677.94	-3.40073	1.713694	0.02965011	0.219238	0.300269	0.237157	0.243336
4510	-4681.89	-4678.41	-3.48419	1.6645	0.02819655	0.221371	0.293426	0.240243	0.24496
4520	-4681.3	-4677.4	-3.89888	2.089771	0.02770487	0.216607	0.300306	0.237433	0.245653
4530	-4686.87	-4683.51	-3.3649	1.64367	0.0293289	0.208517	0.281368	0.236155	0.273959
4540	-4681.35	-4677.52	-3.83047	2.091419	0.02846656	0.213076	0.289964	0.247257	0.249703
4550	-4683.6	-4680.39	-3.21607	1.720057	0.03201587	0.218018	0.284287	0.243144	0.254551
4560	-4681	-4677.22	-3.78232	1.966825	0.02784537	0.20821	0.292468	0.243775	0.255547
4570	-4680.76	-4677.28	-3.48519	1.757543	0.02912385	0.213022	0.301334	0.236094	0.24955
4580	-4680.74	-4677.23	-3.51447	1.738611	0.02860034	0.215573	0.295116	0.242512	0.246799
4590	-4681.48	-4677.73	-3.74983	1.757506	0.02629192	0.215213	0.303974	0.24313	0.237683
4600	-4681.5	-4678.06	-3.43919	1.957341	0.03181415	0.207174	0.301638	0.250736	0.240452
4610	-4681.8	-4678.34	-3.45603	1.65579	0.02842015	0.212604	0.298744	0.235733	0.252919
4620	-4682.4	-4678.88	-3.52315	2.170927	0.03307696	0.205968	0.299662	0.24977	0.2446
4630	-4681.52	-4677.75	-3.76884	1.898153	0.02736079	0.21061	0.299258	0.253971	0.23616
4640	-4681.25	-4677.46	-3.79128	1.830713	0.0265245	0.20797	0.29738	0.249927	0.244723
4650	-4683.97	-4680.41	-3.56982	2.19808	0.0327426	0.20468	0.31927	0.236847	0.239202
4660	-4683.18	-4679.47	-3.71139	1.993758	0.02888368	0.199723	0.289239	0.253898	0.25714
4670	-4682.23	-4678.29	-3.94136	2.019164	0.02664542	0.203176	0.306812	0.243582	0.24643
4680	-4681.21	-4677.54	-3.67524	2.099949	0.03035511	0.215397	0.305643	0.234074	0.244887
4690	-4682.4	-4678.97	-3.4359	1.851894	0.03070188	0.210036	0.296545	0.229821	0.263597
4700	-4684.08	-4680.38	-3.69582	1.821501	0.02742654	0.215573	0.276153	0.246434	0.261841
4710	-4683.34	-4680.05	-3.2898	1.565019	0.02936264	0.209919	0.291466	0.25238	0.246235
4720	-4681.51	-4677.97	-3.53845	1.926894	0.03024195	0.210568	0.288376	0.242373	0.258683
4730	-4685	-4681.35	-3.65068	1.738956	0.0271332	0.212307	0.281869	0.23565	0.270174
4740	-4682.79	-4679.26	-3.52871	2.064775	0.03183012	0.212161	0.305776	0.223353	0.258711
4750	-4681.79	-4678.1	-3.68664	1.892977	0.02819637	0.215142	0.308575	0.22564	0.250643
4760	-4681.57	-4677.83	-3.73971	1.992773	0.02855531	0.208807	0.290082	0.240689	0.260423
4770	-4682.12	-4678.16	-3.96267	2.10433	0.0271585	0.205048	0.300671	0.236631	0.25765
4780	-4680.3	-4676.72	-3.57776	1.958747	0.03009689	0.213669	0.29863	0.243115	0.244585
4790	-4684.48	-4680.26	-4.22562	2.201751	0.02534015	0.217996	0.299845	0.229624	0.252535
4800	-4682.07	-4678.47	-3.60452	2.073346	0.03095445	0.213295	0.292246	0.25537	0.239089
4810	-4682.27	-4678.48	-3.78993	1.817121	0.02641807	0.209403	0.296825	0.233113	0.260659
4820	-4681.73	-4677.98	-3.75173	1.956901	0.02808549	0.209719	0.310596	0.228212	0.251473
4830	-4681.42	-4677.77	-3.65114	2.021557	0.02985656	0.21227	0.312189	0.22952	0.246021
4840	-4688.21	-4684.43	-3.77979	1.641707	0.02499984	0.220217	0.274619	0.235899	0.269265
4850	-4681.42	-4677.67	-3.74769	2.003581	0.0285685	0.203028	0.300398	0.241288	0.255286
4860	-4682.22	-4678.16	-4.06247	1.951077	0.02491122	0.206909	0.299515	0.241936	0.25164
4870	-4683.08	-4679.04	-4.04079	1.998837	0.02549716	0.21987	0.286332	0.252353	0.241445
4880	-4682.05	-4678.61	-3.43514	1.85287	0.03072177	0.217482	0.284816	0.248217	0.249485
4890	-4681.2	-4677.48	-3.72369	1.944333	0.02827517	0.209189	0.292852	0.238815	0.259144
4900	-4680.84	-4677.01	-3.82945	1.939989	0.02710343	0.213615	0.300016	0.234762	0.251608
4910	-4681.24	-4677.36	-3.87326	2.137928	0.02841855	0.214121	0.295893	0.242169	0.247816
4920	-4684.14	-4680.74	-3.39881	2.261534	0.03595895	0.204643	0.30198	0.240447	0.25293
4930	-4681	-4677.26	-3.74261	2.091292	0.02946651	0.208027	0.306911	0.241972	0.243091
4940	-4680.5	-4676.99	-3.51059	1.871484	0.03000083	0.214977	0.304813	0.238288	0.241922
4950	-4681.15	-4677.61	-3.53431	2.053613	0.03163664	0.205248	0.304193	0.243017	0.247541
4960	-4683.49	-4679.8	-3.69088	1.668654	0.02608537	0.216679	0.278611	0.255869	0.248841
4970	-4684.57	-4681.44	-3.12983	1.586679	0.03156158	0.209298	0.311267	0.231666	0.247769
4980	-4682.64	-4679.09	-3.55071	1.629733	0.0271469	0.209005	0.296521	0.253252	0.241222
4990	-4681.56	-4677.68	-3.88135	1.843595	0.02574593	0.211177	0.30222	0.247383	0.23922
5000	-4681.19	-4677.42	-3.77547	1.875089	0.02708257	0.219407	0.303175	0.23611	0.241308
5010	-4682.25	-4679.04	-3.21656	1.837366	0.03341392	0.208671	0.302138	0.233622	0.255569
5020	-4681.56	-4678.15	-3.41048	1.91234	0.03168583	0.213826	0.293151	0.252778	0.240245
5030	-4682.67	-4678.85	-3.81333	2.079239	0.02854462	0.221706	0.289362	0.240361	0.248571
5040	-4683.51	-4679.83	-3.67689	2.201028	0.03136796	0.197899	0.302795	0.241032	0.258275
5050	-4683.48	-4680.2	-3.2775	2.077702	0.03551357	0.208111	0.294848	0.239118	0.257924
5060	-4683.66	-4679.81	-3.84838	1.809718	0.0257774	0.208063	0.286485	0.239881	0.265571
5070	-4682.73	-4679.01	-3.72506	2.132098	0.03007414	0.211529	0.284404	0.245751	0.258315
5080	-4681.64	-4678.2	-3.43928	1.936971	0.0315876	0.209804	0.312209	0.229385	0.248602
5090	-4682.94	-4679.63	-3.31548	1.910198	0.03292261	0.220061	0.290931	0.236667	0.252341
5100	-4680.97	-4677.54	-3.42151	1.80908	0.03041767	0.209979	0.307028	0.241177	0.241817
5110	-4682	-4678.23	-3.76926	1.767729	0.02618912	0.206508	0.294066	0.252295	0.247131
5120	-4682.16	-4678.48	-3.682	1.640408	0.02592062	0.216304	0.298657	0.23648	0.248559
5130	-4680.18	-4676.51	-3.67228	1.938017	0.02878842	0.212345	0.297955	0.244391	0.245309
5140	-4682.76	-4679.14	-3.61833	2.06097	0.03065457	0.210871	0.312592	0.245604	0.230933
5150	-4681.49	-4677.97	-3.51833	2.100123	0.03235386	0.211773	0.295202	0.240773	0.252252
5160	-4681.3	-4677.56	-3.7396	2.093194	0.02952019	0.208682	0.31107	0.236529	0.243719
5170	-4683.65	-4680.08	-3.57751	1.660497	0.02715951	0.215918	0.315491	0.22862	0.239971
5180	-4685.06	-4681.06	-3.99524	2.211078	0.02773963	0.219967	0.294403	0.225927	0.259703
5190	-4684.87	-4681.25	-3.61533	1.824791	0.02832736	0.217981	0.311102	0.250078	0.22084
5200	-4681.25	-4677.88	-3.36902	1.716897	0.03006133	0.213064	0.304363	0.235371	0.247203
5210	-4682.52	-4679.26	-3.25952	1.806913	0.03246274	0.202862	0.30153	0.242649	0.252959
5220	-4682.62	-4679.18	-3.44813	1.964297	0.03177511	0.21204	0.283962	0.245824	0.258173
5230	-4682.44	-4678.93	-3.50944	1.674972	0.02802421	0.211915	0.309835	0.242297	0.235953
5240	-4682.98	-4679.09	-3.89079	2.273922	0.0294761	0.205084	0.310721	0.242809	0.241386
5250	-4682.68	-4679.08	-3.59476	1.990805	0.03022085	0.204614	0.315949	0.242054	0.237383
5260	-4682.23	-4679.01	-3.22028	1.922179	0.03440785	0.212788	0.30797	0.233759	0.245483
5270	-4684.14	-4680.21	-3.93258	1.748845	0.02448433	0.224489	0.294038	0.230732	0.250742
5280	-4681.16	-4677.73	-3.43717	1.873561	0.03092051	0.208704	0.291018	0.248322	0.251956
5290	-4682.52	-4678.77	-3.75095	2.13359	0.02977999	0.199803	0.306467	0.244669	0.249061
5300	-4681.36	-4678	-3.36353	1.806064	0.03110344	0.213944	0.289892	0.248852	0.247312
5310	-4681.73	-4678.08	-3.64728	2.093477	0.0306317	0.203509	0.306462	0.235131	0.254898
5320	-4683.48	-4680.01	-3.46659	1.672991	0.02847616	0.219033	0.305649	0.24842	0.226899
5330	-4683.84	-4680.14	-3.69589	1.822226	0.02743248	0.210252	0.277062	0.266682	0.246004
